stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1042,OGEBUIB,OGEECHEE & BUCKHALTER NB,,32.043752,-81.184127,,,,,,0
1043,OGEE31,OGEECHEE & 31st SB,,32.063879,-81.10647,,,,,,0
1044,OGECHIB,OGEECHEE & CHEVRON NB,,32.044869,-81.179628,,,,,,0
1045,OGERRIB,OGEECHEE & RIDGE NB,,32.045969,-81.175044,,,,,,0
1048,OGEHCIB,OGEECHEE & HEATHCOTE NB,,32.04686,-81.171332,,,,,,0
1049,OGEHIB,OGEECHEE & HERNANDEZ COLLISION NB,,32.047392,-81.169205,,,,,,0
1050,OGE35I,OGEECHEE & 35th SB,,32.061607,-81.10979,,,,,,0
1051,OGE37I,OGEECHEE & 37th SB,,32.060296,-81.111704,,,,,,0
1052,OGE39I,OGEECHEE & 39th SB,,32.058905,-81.113694,,,,,,0
1054,W41HOP,W 41st & HOPKINS EB,,32.057244,-81.114438,,,,,,0
1055,HOPVIC,HOPKINS & VICTORY SB,,32.056266,-81.114533,,,,,,0
1056,HOP45I,HOPKINS & 45th SB,,32.054507,-81.11516,,,,,,0
1058,HOP49I,HOPKINS & 49th SB,,32.051769,-81.11618,,,,,,0
1059,AMACAT,AMARANTH & CAITHNESS EB,,32.050925,-81.11569,,,,,,0
1061,STEW51,STEVENS & 51st SB,,32.049714,-81.115391,,,,,,0
1063,OGETHIB,OGEECHEE & THUNDERBIRD HOTEL NB,,32.050382,-81.156313,,,,,,0
1064,OGESSIB,OGEECHEE & SECURE STORAGE NB,,32.051417,-81.151675,,,,,,0
1066,OGESAIB,OGEECHEE & 24 FITNESS NB,,32.053127,-81.144473,,,,,,0
1068,OGERWIB,OGEECHEE & RED AND WHITE NB,US-80 & MILLEN ST,32.054999,-81.137026,,,,,,0
1069,OGETRIB,OGEECHEE & TREMONT NB,,32.05589,-81.132547,,,,,,0
1070,OGEDAIB,OGECHEE & DAWES NB,,32.056683,-81.126355,,,,,,0
1074,OGE@39IB,OGEECHEE & 39th NB,,32.058932,-81.113577,,,,,,0
1083,MLKGWIB,MLK & GWINNETT NB,,32.068502,-81.101673,,,,,,0
1084,MLKHAIB,MLK & HALL NB,,32.069507,-81.101322,,,,,,0
1085,MLKHUIB,MLK & HUNTINGDON NB,,32.07054,-81.100929,,,,,,0
1086,MLKGAIB,MLK & GASTON NB,,32.071527,-81.100578,,,,,,0
1087,MLKTAIB,MLK & TAYLOR NB,,32.072945,-81.100057,,,,,,0
1088,MLKCHIB,MLK & CHARLTON NB,,32.074569,-81.099429,,,,,,0
1089,HODMOB,HODGSON MEMORIAL & MALL WAY SB,,32.001788,-81.113143,,,,,,0
1090,LARWR,LARGO & WINDSOR WB,STILLWOOD DR & LARGO DR,31.972219,-81.151511,,,,,,0
1091,GREWBOB,GREENBRIAR & WHITE BLUFF EB,,31.964321,-81.135911,,,,,,0
1092,HERPAK,HERITAGE PARK NURSING HOME,,31.968935,-81.136202,,,,,,0
1093,CBBST,COFFEE BLUFF MARINA,E BACK ST & LEE ST,31.937058,-81.153208,,,,,,0
1095,GRWBIB,GREENBRIAR & WHITE BLUFF NB,,31.964043,-81.135539,,,,,,0
1096,WBWIB,WHITE BLUFF & WINDSOR NB,,31.973093,-81.132835,,,,,,0
1101,WHIHSOB,WHITE BLUFF & HERITAGE APTS SB,,31.99576,-81.125495,,,,,,0
1102,WHIEOOB,WHITE BLUFF & ENGLISH OAKS SB,,31.993327,-81.127152,,,,,,0
1103,WHITCOB,WHITE BLUFF & TELEVISION SB,,31.991074,-81.128043,,,,,,0
